timestamp,namada.indexer.Citizen Web3.is_up_to_date,namada.indexer.Citizen Web3.status,namada.indexer.Citizen Web3.sync_state,namada.indexer.Citizen Web3.version,namada.interface.Citizen Web3.is_up_to_date,namada.interface.Citizen Web3.status,namada.interface.Citizen Web3.version,namada.masp.Citizen Web3.is_up_to_date,namada.masp.Citizen Web3.status,namada.masp.Citizen Web3.sync_state,namada.masp.Citizen Web3.version,namada.rpc.Citizen Web3.is_up_to_date,namada.rpc.Citizen Web3.status,namada.rpc.Citizen Web3.sync_state,namada.rpc.Citizen Web3.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T19:11:25.043786+00:00Z,,,,,,down,n/a,,,,,,,,
2025-05-05T19:36:22.174523+00:00Z,False,down,sync_nok,n/a,,up,1.19.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-05T22:15:13.374075+00:00Z,,,,,,down,n/a,,,,,,,,
2025-05-05T23:14:36.429814+00:00Z,True,up,sync_ok,2.5.3,True,up,1.20.0,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-06T06:22:43.312687+00:00Z,True,up,sync_nok,2.5.3,True,up,1.20.0,False,up,sync_nok,1.2.0,True,up,sync_ok,0.37.15
2025-05-06T07:15:47.742667+00:00Z,True,up,sync_ok,2.5.3,True,up,1.20.0,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-06T12:33:40.625317+00:00Z,True,up,sync_lag,2.5.3,True,up,1.20.0,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-06T13:28:39.187516+00:00Z,True,up,sync_ok,2.5.3,True,up,1.20.0,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-10T04:17:33.111268+00:00Z,True,up,sync_ok,2.5.3,True,up,1.20.0,False,up,sync_ok,1.2.0,False,down,sync_nok,n/a
2025-05-10T05:14:39.065314+00:00Z,True,up,sync_ok,2.5.3,True,up,1.20.0,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-13T16:20:32.416898+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-13T17:14:26.264803+00:00Z,True,up,sync_nok,2.5.3,True,up,1.20.0,False,up,sync_nok,1.2.0,True,up,sync_ok,0.37.15
2025-05-13T17:40:05.275527+00:00Z,True,up,sync_ok,2.5.3,True,up,1.20.0,False,up,sync_nok,1.2.0,True,up,sync_ok,0.37.15
2025-05-14T09:17:07.094870+00:00Z,True,up,sync_ok,2.5.3,False,down,n/a,False,up,sync_nok,1.2.0,True,up,sync_ok,0.37.15
