timestamp,namada.indexer.CroutonDigital.is_up_to_date,namada.indexer.CroutonDigital.status,namada.indexer.CroutonDigital.sync_state,namada.indexer.CroutonDigital.version,namada.interface.CroutonDigital.is_up_to_date,namada.interface.CroutonDigital.status,namada.interface.CroutonDigital.version,namada.masp.CroutonDigital.is_up_to_date,namada.masp.CroutonDigital.status,namada.masp.CroutonDigital.sync_state,namada.masp.CroutonDigital.version,namada.rpc.CroutonDigital.is_up_to_date,namada.rpc.CroutonDigital.status,namada.rpc.CroutonDigital.sync_state,namada.rpc.CroutonDigital.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-15T11:36:44.887611+00:00Z,,,,,False,,,,,,,,,,
2025-05-27T16:20:15.188932+00:00Z,,,,,False,,,,,sync_lag,,False,down,sync_nok,n/a
2025-05-27T16:47:30.993932+00:00Z,,,,,False,,,,,sync_nok,,False,down,sync_nok,n/a
2025-05-28T13:29:45.905483+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-28T14:17:07.007171+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,True,up,sync_nok,1.3.0,True,up,sync_nok,0.37.15
2025-05-28T15:16:15.417624+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-28T18:21:08.216935+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T15:15:02.467858+00:00Z,True,up,sync_ok,3.0.2,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T13:29:59.268918+00:00Z,False,up,sync_ok,3.1.0,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T14:44:15.908497+00:00Z,False,down,sync_nok,n/a,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T15:17:54.661880+00:00Z,False,up,sync_ok,3.1.0,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T09:17:37.320811+00:00Z,True,up,sync_ok,3.1.0,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T10:16:40.079168+00:00Z,True,up,sync_nok,3.1.0,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T16:18:15.847096+00:00Z,True,up,sync_ok,3.1.0,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T16:20:34.388783+00:00Z,False,up,sync_ok,3.1.0,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T21:15:21.061920+00:00Z,True,up,sync_ok,3.2.0,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T16:20:38.339249+00:00Z,True,up,sync_ok,3.2.0,False,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-12T13:25:38.248422+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T16:21:39.017662+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T15:18:52.358967+00:00Z,False,up,sync_ok,3.3.4,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T17:17:44.510529+00:00Z,True,up,sync_ok,3.3.4,False,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-17T14:45:24.901079+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T04:58:19.836174+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T07:29:49.987950+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T13:37:45.467426+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
