timestamp,namada.indexer.EmberStake.is_up_to_date,namada.indexer.EmberStake.status,namada.indexer.EmberStake.sync_state,namada.indexer.EmberStake.version,namada.interface.EmberStake.is_up_to_date,namada.interface.EmberStake.status,namada.interface.EmberStake.version,namada.masp.EmberStake.is_up_to_date,namada.masp.EmberStake.status,namada.masp.EmberStake.sync_state,namada.masp.EmberStake.version,namada.rpc.EmberStake.is_up_to_date,namada.rpc.EmberStake.status,namada.rpc.EmberStake.sync_state,namada.rpc.EmberStake.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T18:18:32.884333+00:00Z,,,sync_ok,2.5.3,,,,,,,,,,,
2025-05-13T19:12:55.105791+00:00Z,,,sync_ok,2.5.3,False,down,n/a,,,,,,,,
2025-05-14T21:35:47.816955+00:00Z,False,,sync_ok,2.5.3,False,down,n/a,,,,,,,,
2025-05-15T11:36:44.887611+00:00Z,False,,sync_ok,2.5.3,True,up,1.20.0-hotfix2,,,,,,,,
2025-05-21T07:15:35.024549+00:00Z,False,,sync_ok,2.5.3,False,up,1.20.0-hotfix2,,,,,,,,
2025-05-21T08:21:13.743867+00:00Z,True,,sync_ok,2.5.4,True,up,1.20.0-hotfix3,,,,,,,,
2025-05-27T16:20:15.188932+00:00Z,True,,sync_lag,2.5.4,True,up,1.20.0-hotfix3,,,sync_lag,,,,sync_lag,
2025-05-27T16:47:30.993932+00:00Z,False,,sync_ok,3.0.2,True,up,1.20.0-hotfix3,False,,sync_nok,1.3.0,,,sync_ok,
2025-05-27T19:35:48.274091+00:00Z,True,,sync_ok,3.0.2,False,up,1.20.0-hotfix3,True,,sync_nok,1.3.0,,,sync_ok,
2025-05-28T01:17:37.540661+00:00Z,True,,sync_ok,3.0.2,True,up,1.21.0,True,,sync_nok,1.3.0,,,sync_ok,
2025-05-28T05:16:20.357608+00:00Z,True,,sync_ok,3.0.2,True,up,1.21.0,True,,sync_ok,1.3.0,,,sync_ok,
2025-06-07T08:19:07.116732+00:00Z,True,,sync_ok,3.0.2,False,up,1.21.0,True,,sync_ok,1.3.0,,,sync_ok,
2025-06-07T09:15:15.954784+00:00Z,True,,sync_ok,3.0.2,True,up,1.24.0,True,,sync_ok,1.3.0,,,sync_ok,
2025-06-07T18:20:11.416497+00:00Z,True,,sync_ok,3.0.2,True,up,1.24.0,True,,sync_ok,1.3.0,False,down,sync_nok,n/a
2025-06-07T19:11:58.643005+00:00Z,True,,sync_ok,3.0.2,True,up,1.24.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T12:33:07.465452+00:00Z,False,,sync_ok,3.1.0,True,up,1.24.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T09:17:37.320811+00:00Z,True,,sync_ok,3.1.0,True,up,1.24.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T16:20:13.171167+00:00Z,True,,sync_ok,3.1.0,False,up,1.24.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-14T10:15:40.578565+00:00Z,True,,sync_ok,3.1.0,True,up,1.26.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T10:16:40.079168+00:00Z,True,,sync_nok,3.1.0,True,up,1.26.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T16:18:15.847096+00:00Z,True,,sync_ok,3.1.0,True,up,1.26.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T16:20:34.388783+00:00Z,False,,sync_ok,3.1.0,True,up,1.26.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-17T09:18:05.725910+00:00Z,True,,sync_ok,3.2.0,True,up,1.26.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T15:43:07.729773+00:00Z,False,down,sync_nok,n/a,True,up,1.26.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T16:20:40.167186+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T09:17:41.241362+00:00Z,False,down,sync_nok,n/a,True,up,1.26.0,True,,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T11:14:12.314056+00:00Z,False,down,sync_nok,n/a,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-19T11:38:17.150306+00:00Z,False,down,sync_nok,n/a,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T12:33:32.425403+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T20:18:53.189679+00:00Z,True,up,sync_ok,3.2.0,False,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-21T16:18:33.342892+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T14:16:16.314764+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T21:15:13.463843+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T22:15:57.191039+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-09T10:18:37.118249+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T21:16:15.922585+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T16:21:28.112049+00:00Z,False,up,sync_ok,3.3.4,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T17:17:44.510529+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T22:16:28.720630+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-20T11:37:29.567385+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T04:58:19.836174+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T17:17:12.259772+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T13:37:45.467426+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T23:17:05.439796+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
