timestamp,namada.indexer.Grand Valley.is_up_to_date,namada.indexer.Grand Valley.status,namada.indexer.Grand Valley.sync_state,namada.indexer.Grand Valley.version,namada.interface.Grand Valley.is_up_to_date,namada.interface.Grand Valley.status,namada.interface.Grand Valley.version,namada.masp.Grand Valley.is_up_to_date,namada.masp.Grand Valley.status,namada.masp.Grand Valley.sync_state,namada.masp.Grand Valley.version,namada.rpc.Grand Valley.is_up_to_date,namada.rpc.Grand Valley.status,namada.rpc.Grand Valley.sync_state,namada.rpc.Grand Valley.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T18:18:32.884333+00:00Z,False,down,,n/a,,,,False,down,sync_nok,n/a,,,,
2025-05-05T20:40:17.176507+00:00Z,False,up,sync_ok,2.5.2,,,,False,down,sync_nok,n/a,,,,
2025-05-05T21:14:39.133829+00:00Z,False,up,sync_ok,2.5.2,,,,True,up,sync_nok,1.2.1,,,,
2025-05-06T02:53:05.269203+00:00Z,True,up,sync_ok,2.5.3,,,,True,up,sync_nok,1.2.1,,,,
2025-05-06T04:19:08.389483+00:00Z,True,up,sync_ok,2.5.3,,,,True,up,sync_ok,1.2.1,,,,
2025-05-13T19:35:51.817535+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-13T20:17:51.606241+00:00Z,True,up,sync_ok,2.5.3,False,down,n/a,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-14T21:35:47.816955+00:00Z,False,up,sync_ok,2.5.3,False,down,n/a,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-15T11:36:44.887611+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-21T07:15:35.024549+00:00Z,False,up,sync_ok,2.5.3,False,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-23T04:19:24.942014+00:00Z,False,down,sync_nok,n/a,False,up,1.20.0-hotfix2,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-23T05:16:08.706151+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.0-hotfix2,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-23T06:23:00.623751+00:00Z,True,up,sync_nok,2.5.4,False,up,1.20.0-hotfix2,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-23T07:15:39.892011+00:00Z,True,up,sync_nok,2.5.4,False,up,1.20.0-hotfix2,True,up,sync_nok,1.2.1,True,up,sync_ok,0.37.15
2025-05-23T08:21:13.433575+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.0-hotfix2,True,up,sync_nok,1.2.1,True,up,sync_ok,0.37.15
2025-05-23T09:17:08.740641+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-23T11:13:16.434498+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-25T05:14:48.716612+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-27T16:20:15.188932+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-27T19:35:48.274091+00:00Z,False,down,sync_nok,n/a,False,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-28T19:13:10.710380+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-30T04:20:44.015298+00:00Z,False,down,sync_nok,n/a,False,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-31T06:20:58.413472+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-31T07:14:16.923086+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-31T07:36:30.543655+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T05:15:02.873975+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-07T06:21:13.877553+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-08T05:16:45.899539+00:00Z,True,up,sync_ok,3.0.2,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-08T20:16:20.288252+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T17:15:03.614903+00:00Z,False,down,sync_nok,n/a,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T18:22:17.838026+00:00Z,False,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T09:17:37.320811+00:00Z,True,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T16:20:13.171167+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T10:16:40.079168+00:00Z,True,up,sync_nok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T16:18:15.847096+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T15:17:45.212681+00:00Z,False,down,sync_nok,n/a,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T16:20:34.388783+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T19:12:29.683452+00:00Z,True,up,sync_nok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T20:17:58.528887+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T09:42:01.661851+00:00Z,True,up,sync_nok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T12:33:32.425403+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T20:18:53.189679+00:00Z,True,up,sync_ok,3.2.0,False,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T03:58:30.204299+00:00Z,True,up,sync_ok,3.2.0,True,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T20:17:42.681478+00:00Z,True,up,sync_ok,3.2.0,False,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-22T06:22:08.079004+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-06-22T07:15:23.145719+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T19:12:34.498057+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T21:15:13.463843+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T22:15:57.191039+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-08T07:17:16.166139+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-11T19:38:17.289508+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-07-12T04:05:40.270615+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T05:24:18.081760+00:00Z,False,down,sync_nok,n/a,True,up,1.29.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-07-15T07:19:18.288816+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-07-15T07:42:33.985866+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T08:23:18.306418+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T17:17:44.510529+00:00Z,False,up,sync_nok,3.3.2,False,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T18:24:21.221096+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-07-16T19:14:51.286483+00:00Z,False,down,sync_nok,n/a,False,up,1.31.1,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T20:19:00.950177+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-07-16T21:16:42.932754+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T22:16:28.720630+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
