timestamp,namada.indexer.Hadesguard.is_up_to_date,namada.indexer.Hadesguard.status,namada.indexer.Hadesguard.sync_state,namada.indexer.Hadesguard.version,namada.interface.Hadesguard.is_up_to_date,namada.interface.Hadesguard.status,namada.interface.Hadesguard.version,namada.masp.Hadesguard.is_up_to_date,namada.masp.Hadesguard.status,namada.masp.Hadesguard.sync_state,namada.masp.Hadesguard.version,namada.rpc.Hadesguard.is_up_to_date,namada.rpc.Hadesguard.status,namada.rpc.Hadesguard.sync_state,namada.rpc.Hadesguard.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T21:38:31.990018+00:00Z,,,sync_lag,,,,,,,sync_lag,,,,,
2025-05-05T22:15:13.374075+00:00Z,,,sync_ok,,,,,,,sync_ok,,,,,
2025-05-06T06:22:43.312687+00:00Z,,,sync_nok,,,,,,,sync_nok,,,,,
2025-05-06T07:15:47.742667+00:00Z,,,sync_ok,,,,,,,sync_ok,,,,,
2025-05-07T16:20:33.330883+00:00Z,,,sync_ok,2.5.4,,,,,,sync_ok,,,,,
2025-05-08T18:21:56.334887+00:00Z,,,sync_ok,2.5.4,,,,,,sync_ok,,True,,,0.37.15
2025-05-13T18:22:38.134720+00:00Z,,,sync_ok,2.5.4,False,down,n/a,,,sync_ok,,True,,,0.37.15
2025-05-15T11:36:44.887611+00:00Z,,,sync_ok,2.5.4,True,up,1.20.0-hotfix2,,,sync_ok,,True,,,0.37.15
2025-05-20T15:17:40.098979+00:00Z,False,,sync_ok,2.5.3,True,up,1.20.0-hotfix2,,,sync_ok,,True,,,0.37.15
2025-05-21T04:19:55.917174+00:00Z,False,,sync_ok,2.5.3,False,up,1.20.0-hotfix3,,,sync_ok,,True,,,0.37.15
2025-05-21T06:23:22.875194+00:00Z,True,,sync_ok,2.5.4,False,up,1.20.0-hotfix3,,,sync_ok,,True,,,0.37.15
2025-05-21T07:15:35.024549+00:00Z,True,,sync_ok,2.5.4,True,up,1.20.0-hotfix3,,,sync_ok,,True,,,0.37.15
2025-05-23T13:26:38.314451+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,,,sync_ok,,True,,,0.37.15
