timestamp,namada.indexer.Heliax.is_up_to_date,namada.indexer.Heliax.status,namada.indexer.Heliax.sync_state,namada.indexer.Heliax.version,namada.interface.Heliax.is_up_to_date,namada.interface.Heliax.version,namada.masp.Heliax.is_up_to_date,namada.masp.Heliax.status,namada.masp.Heliax.sync_state,namada.masp.Heliax.version,namada.rpc.Heliax.is_up_to_date,namada.rpc.Heliax.status,namada.rpc.Heliax.sync_state,namada.rpc.Heliax.version
2025-06-10T11:14:01.557371+00:00Z,,,,,,,,,,,,,,
2025-06-12T03:00:59.339338+00:00Z,False,,,3.1.0,,,,,,,,,,
2025-06-13T09:17:37.320811+00:00Z,True,,,3.1.0,,,,,,,,,,
2025-06-13T16:20:13.171167+00:00Z,True,,,3.1.0,,1.26.0,,,,,,,,
2025-06-15T10:16:40.079168+00:00Z,True,,sync_nok,3.1.0,,1.26.0,,,,,,,,
2025-06-15T16:18:15.847096+00:00Z,True,,sync_ok,3.1.0,,1.26.0,,,,,,,,
2025-06-15T18:20:28.919599+00:00Z,True,,sync_lag,3.1.0,,1.26.0,,,sync_lag,,,,sync_lag,
2025-06-15T19:12:28.701749+00:00Z,True,,sync_ok,3.1.0,,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-16T16:20:34.388783+00:00Z,True,,sync_ok,3.2.0,,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-18T07:40:29.680763+00:00Z,True,,sync_ok,3.2.0,,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-18T12:34:18.282092+00:00Z,False,down,sync_nok,n/a,,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-18T13:30:52.177208+00:00Z,True,up,sync_ok,3.2.0,,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-18T14:44:40.194178+00:00Z,False,down,sync_nok,n/a,,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-18T15:17:53.363562+00:00Z,True,up,sync_ok,3.2.0,,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-18T15:43:07.729773+00:00Z,False,down,sync_nok,n/a,,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-18T16:20:40.167186+00:00Z,True,up,sync_ok,3.2.0,,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-19T08:22:01.182699+00:00Z,False,down,sync_nok,n/a,,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-19T12:33:32.425403+00:00Z,True,up,sync_ok,3.2.0,,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-19T20:18:53.189679+00:00Z,True,up,sync_ok,3.2.0,False,1.26.0,,,sync_ok,,,,sync_ok,
2025-06-20T08:21:20.602972+00:00Z,True,up,sync_ok,3.2.0,True,1.27.0,,,sync_ok,,,,sync_ok,
2025-06-20T13:28:01.344152+00:00Z,,,,,True,1.27.0,,,,,,,,
2025-06-20T14:15:41.886132+00:00Z,True,up,sync_ok,3.2.0,True,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T18:21:50.520283+00:00Z,True,up,sync_ok,3.2.0,False,1.28.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T20:17:42.681478+00:00Z,True,up,sync_ok,3.2.0,True,1.28.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T21:14:38.256014+00:00Z,True,up,sync_ok,3.2.0,False,1.28.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T23:15:50.852081+00:00Z,True,up,sync_ok,3.2.0,False,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-21T01:17:19.404317+00:00Z,True,up,sync_ok,3.2.0,True,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T21:15:13.463843+00:00Z,True,up,sync_ok,3.2.0,False,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T11:14:33.631123+00:00Z,True,up,sync_ok,3.2.0,False,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T22:15:57.191039+00:00Z,True,up,sync_ok,3.2.0,True,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T21:16:15.922585+00:00Z,False,up,sync_nok,3.3.2,True,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T15:18:52.358967+00:00Z,False,up,sync_nok,3.3.2,False,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T16:21:28.112049+00:00Z,False,up,sync_ok,3.3.4,False,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T17:17:44.510529+00:00Z,True,up,sync_ok,3.3.4,True,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T18:24:21.221096+00:00Z,True,up,sync_ok,3.3.4,False,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T22:16:28.720630+00:00Z,True,up,sync_ok,3.3.4,True,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-24T09:21:27.544546+00:00Z,True,up,sync_ok,3.3.4,False,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T04:58:19.836174+00:00Z,True,up,sync_ok,3.3.4,True,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T13:37:45.467426+00:00Z,True,up,sync_ok,3.3.4,True,1.31.4,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
