timestamp,namada.indexer.L0vd.is_up_to_date,namada.indexer.L0vd.status,namada.indexer.L0vd.sync_state,namada.indexer.L0vd.version,namada.interface.L0vd.is_up_to_date,namada.interface.L0vd.status,namada.interface.L0vd.version,namada.masp.L0vd.is_up_to_date,namada.masp.L0vd.status,namada.masp.L0vd.sync_state,namada.masp.L0vd.version,namada.rpc.L0vd.is_up_to_date,namada.rpc.L0vd.status,namada.rpc.L0vd.sync_state,namada.rpc.L0vd.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-10T12:28:29.059676+00:00Z,,down,,n/a,,,,,,,,,,,
2025-05-10T15:14:50.808962+00:00Z,,down,,n/a,True,,1.20.1,,,,,,,,
2025-05-11T13:40:38.001109+00:00Z,,down,,n/a,True,,1.20.0,,,,,,,,
2025-05-11T15:14:00.131297+00:00Z,True,up,sync_ok,2.5.3,True,,1.20.0,,,,,,,,
2025-05-13T16:20:32.416898+00:00Z,True,up,sync_nok,2.5.3,True,,1.20.0,,,,,,,,
2025-05-13T17:14:26.264803+00:00Z,True,up,sync_ok,2.5.3,True,,1.20.0,,,,,,,,
2025-05-13T18:22:38.134720+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-13T19:12:55.105791+00:00Z,True,up,sync_ok,2.5.3,False,down,n/a,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-14T21:35:47.816955+00:00Z,False,up,sync_ok,2.5.3,False,down,n/a,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-15T11:36:44.887611+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-19T12:33:40.408081+00:00Z,False,up,sync_nok,2.5.3,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-19T13:29:11.216189+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-20T17:14:09.410803+00:00Z,False,up,sync_lag,2.5.3,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-20T17:40:14.307480+00:00Z,False,up,sync_nok,2.5.3,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-20T19:12:34.838319+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-21T07:15:35.024549+00:00Z,False,up,sync_ok,2.5.3,False,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-22T17:14:17.593998+00:00Z,False,up,sync_lag,2.5.3,False,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-22T18:22:09.182142+00:00Z,False,up,sync_ok,2.5.3,False,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-23T07:15:39.892011+00:00Z,False,down,sync_nok,n/a,False,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-23T08:21:13.433575+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-23T09:17:08.740641+00:00Z,True,up,sync_nok,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-23T10:17:09.765760+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-26T14:42:41.219286+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-27T16:20:15.188932+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,False,down,sync_nok,n/a
2025-05-27T16:47:30.993932+00:00Z,True,up,sync_nok,2.5.4,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-27T19:35:48.274091+00:00Z,False,up,sync_nok,2.5.4,False,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-28T21:14:48.814696+00:00Z,False,up,sync_ok,2.5.4,False,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-28T21:37:31.910682+00:00Z,False,up,sync_nok,2.5.4,False,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-29T03:45:09.149564+00:00Z,False,up,sync_lag,2.5.4,False,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-29T04:21:12.987792+00:00Z,False,up,sync_nok,2.5.4,False,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-29T11:13:41.564642+00:00Z,False,up,sync_ok,2.5.4,False,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-29T11:36:31.777141+00:00Z,False,up,sync_nok,2.5.4,False,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
