timestamp,namada.indexer.LoserBoy.is_up_to_date,namada.indexer.LoserBoy.status,namada.indexer.LoserBoy.sync_state,namada.indexer.LoserBoy.version,namada.interface.LoserBoy.is_up_to_date,namada.interface.LoserBoy.status,namada.interface.LoserBoy.version,namada.masp.LoserBoy.is_up_to_date,namada.masp.LoserBoy.status,namada.masp.LoserBoy.sync_state,namada.masp.LoserBoy.version,namada.rpc.LoserBoy.is_up_to_date,namada.rpc.LoserBoy.status,namada.rpc.LoserBoy.sync_state,namada.rpc.LoserBoy.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T21:38:31.990018+00:00Z,,,sync_lag,,,,,,,sync_lag,,,,,
2025-05-05T22:15:13.374075+00:00Z,,,sync_ok,,,,,,,sync_ok,,,,,
2025-05-06T06:22:43.312687+00:00Z,,,sync_nok,,,,,,,sync_nok,,,,,
2025-05-06T07:15:47.742667+00:00Z,,,sync_ok,,,,,,,sync_ok,,,,,
2025-05-07T16:20:33.330883+00:00Z,,,sync_ok,2.5.4,,,,,,sync_ok,,,,,
2025-05-15T11:36:44.887611+00:00Z,,,sync_ok,2.5.4,False,,,,,sync_ok,,,,,
2025-05-15T18:21:59.300666+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-16T17:13:05.746351+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-16T18:21:27.023602+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-20T14:15:58.807137+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-20T15:17:40.098979+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-21T06:23:22.875194+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
