timestamp,namada.indexer.MELLIFERA.is_up_to_date,namada.indexer.MELLIFERA.status,namada.indexer.MELLIFERA.sync_state,namada.indexer.MELLIFERA.version,namada.interface.MELLIFERA.is_up_to_date,namada.interface.MELLIFERA.status,namada.interface.MELLIFERA.version,namada.masp.MELLIFERA.is_up_to_date,namada.masp.MELLIFERA.status,namada.masp.MELLIFERA.sync_state,namada.masp.MELLIFERA.version,namada.rpc.MELLIFERA.is_up_to_date,namada.rpc.MELLIFERA.status,namada.rpc.MELLIFERA.sync_state,namada.rpc.MELLIFERA.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T20:40:17.176507+00:00Z,True,,sync_ok,2.5.3,,,,,,,,,,,
2025-05-06T15:20:34.259163+00:00Z,True,,sync_ok,2.5.3,True,,1.20.0,,,,,,,,
2025-05-13T19:12:55.105791+00:00Z,True,,sync_ok,2.5.3,False,down,n/a,,,,,,,,
2025-05-14T16:19:41.989971+00:00Z,True,,sync_ok,2.5.3,False,down,n/a,True,up,sync_ok,1.2.1,,,,
2025-05-14T17:13:55.799630+00:00Z,True,,sync_ok,2.5.3,False,down,n/a,True,up,sync_ok,1.2.1,,,,
2025-05-14T21:35:47.816955+00:00Z,False,,sync_ok,2.5.3,False,down,n/a,True,up,sync_ok,1.2.1,,,,
2025-05-15T11:36:44.887611+00:00Z,False,,sync_ok,2.5.3,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,,,,
2025-05-21T07:15:35.024549+00:00Z,False,,sync_ok,2.5.3,False,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,,,,
2025-05-21T19:35:46.373649+00:00Z,False,,sync_ok,3.0.2,False,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,,,,
2025-05-21T21:14:36.803763+00:00Z,True,,sync_ok,2.5.4,False,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,,,,
2025-05-21T21:37:44.671652+00:00Z,True,,sync_ok,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_ok,1.2.1,,,,
2025-05-27T16:20:15.188932+00:00Z,True,,sync_lag,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_lag,1.2.1,False,down,sync_nok,n/a
2025-05-27T16:47:30.993932+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-27T17:14:25.051180+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix3,False,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T19:35:48.274091+00:00Z,True,up,sync_ok,3.0.2,False,up,1.20.0-hotfix3,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-28T08:21:34.190484+00:00Z,True,up,sync_ok,3.0.2,False,up,1.20.0-hotfix3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-29T13:27:35.838598+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
