timestamp,namada.indexer.MekongLabs.is_up_to_date,namada.indexer.MekongLabs.status,namada.indexer.MekongLabs.sync_state,namada.indexer.MekongLabs.version,namada.interface.MekongLabs.is_up_to_date,namada.interface.MekongLabs.status,namada.interface.MekongLabs.version,namada.masp.MekongLabs.is_up_to_date,namada.masp.MekongLabs.status,namada.masp.MekongLabs.sync_state,namada.masp.MekongLabs.version,namada.rpc.MekongLabs.is_up_to_date,namada.rpc.MekongLabs.status,namada.rpc.MekongLabs.sync_state,namada.rpc.MekongLabs.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T21:38:31.990018+00:00Z,,,sync_lag,,,,,,,sync_lag,,False,down,sync_nok,n/a
2025-05-05T22:15:13.374075+00:00Z,,,sync_ok,,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-06T06:22:43.312687+00:00Z,,,sync_nok,,,,,,,sync_nok,,False,down,sync_nok,n/a
2025-05-06T07:15:47.742667+00:00Z,,,sync_ok,,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-07T06:22:58.306796+00:00Z,,,sync_ok,,,,,,,sync_ok,,False,down,sync_nok,n/a
2025-05-07T07:15:42.383475+00:00Z,,,sync_ok,,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-07T16:20:33.330883+00:00Z,,,sync_ok,2.5.4,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-09T06:23:15.610986+00:00Z,,,sync_ok,2.5.4,,,,,,sync_ok,,False,down,sync_nok,n/a
2025-05-09T07:15:25.330877+00:00Z,,,sync_ok,2.5.4,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-09T12:31:18.806849+00:00Z,,,sync_ok,2.5.4,,,,,,sync_ok,,False,down,sync_nok,n/a
2025-05-09T13:26:16.887947+00:00Z,,,sync_ok,2.5.4,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-13T15:16:59.578404+00:00Z,,,,,True,,1.20.1,,,,,,,,
2025-05-16T01:16:44.026024+00:00Z,,,,,True,,1.20.0-hotfix2,,,,,,,,
2025-05-21T05:16:05.634329+00:00Z,,,,,False,,1.20.2,,,,,,,,
2025-05-21T08:21:13.743867+00:00Z,,,,,True,,1.20.0-hotfix3,,,,,,,,
2025-05-27T19:35:48.274091+00:00Z,,,,,False,,1.20.0-hotfix3,,,,,,,,
2025-06-07T15:15:02.467858+00:00Z,,,,,True,,1.24.0,,,,,,,,
2025-06-13T16:20:13.171167+00:00Z,,,,,False,,1.24.0,,,,,,,,
2025-06-18T14:44:40.194178+00:00Z,,,,,True,,1.26.0,,,,,,,,
