timestamp,namada.interface.Nodes.is_up_to_date,namada.interface.Nodes.status,namada.interface.Nodes.version
2025-05-05T14:43:48.331199+00:00Z,,,
2025-05-05T18:18:32.884333+00:00Z,,,
2025-05-06T11:13:16.882944+00:00Z,,,
2025-05-06T16:18:22.384556+00:00Z,,,
2025-05-06T17:14:17.262985+00:00Z,,,
2025-05-14T09:17:07.094870+00:00Z,False,down,n/a
2025-05-14T21:35:47.816955+00:00Z,False,down,n/a
2025-05-15T11:36:44.887611+00:00Z,True,up,1.20.0-hotfix2
2025-05-21T07:15:35.024549+00:00Z,False,up,1.20.0-hotfix2
2025-05-21T16:20:30.820534+00:00Z,True,up,1.20.0-hotfix3
2025-05-23T08:21:13.433575+00:00Z,True,up,1.20.0-hotfix3
2025-05-23T11:13:16.434498+00:00Z,True,up,1.20.0-hotfix3
2025-05-27T16:20:15.188932+00:00Z,True,up,1.20.0-hotfix3
2025-05-27T16:47:30.993932+00:00Z,True,up,1.20.0-hotfix3
2025-05-27T17:38:30.832674+00:00Z,True,up,1.20.0-hotfix3
2025-05-27T18:21:07.557856+00:00Z,True,up,1.20.0-hotfix3
2025-05-27T19:12:23.425317+00:00Z,True,up,1.20.0-hotfix3
2025-05-27T19:35:48.274091+00:00Z,False,up,1.20.0-hotfix3
2025-05-27T20:40:32.859929+00:00Z,True,up,1.21.0
2025-05-28T01:17:37.540661+00:00Z,True,up,1.21.0
2025-06-02T07:17:14.442207+00:00Z,True,up,1.21.0
2025-06-02T08:22:51.343778+00:00Z,True,up,1.21.0
2025-06-02T22:15:36.362492+00:00Z,True,up,1.21.0
2025-06-03T20:18:36.218100+00:00Z,True,up,1.21.0
2025-06-07T08:19:07.116732+00:00Z,False,up,1.21.0
2025-06-07T19:11:58.643005+00:00Z,False,up,1.21.0
2025-06-08T19:12:18.564399+00:00Z,True,up,1.24.0
2025-06-12T12:33:07.465452+00:00Z,True,up,1.24.0
2025-06-13T09:17:37.320811+00:00Z,True,up,1.24.0
2025-06-13T16:20:13.171167+00:00Z,True,up,1.26.0
2025-06-15T10:16:40.079168+00:00Z,True,up,1.26.0
2025-06-15T16:18:15.847096+00:00Z,True,up,1.26.0
2025-06-16T16:20:34.388783+00:00Z,True,up,1.26.0
2025-06-16T17:14:43.993880+00:00Z,True,up,1.26.0
2025-06-19T20:18:53.189679+00:00Z,False,up,1.26.0
2025-06-20T08:21:20.602972+00:00Z,True,up,1.27.0
2025-06-20T20:17:42.681478+00:00Z,False,up,1.27.0
2025-06-21T08:19:31.056277+00:00Z,True,up,1.28.2
2025-06-26T09:18:06.688999+00:00Z,True,up,1.28.2
2025-06-26T10:17:35.780399+00:00Z,True,up,1.28.2
2025-06-26T18:23:11.464655+00:00Z,True,up,1.28.2
2025-06-26T19:36:44.897474+00:00Z,True,up,1.28.2
2025-06-30T14:44:11.375577+00:00Z,False,up,1.28.3
2025-06-30T21:15:13.463843+00:00Z,True,up,1.28.3
2025-07-07T22:15:57.191039+00:00Z,False,up,1.28.3
2025-07-15T04:56:43.507790+00:00Z,False,up,1.28.3
2025-07-15T05:24:18.081760+00:00Z,False,up,1.28.3
2025-07-15T11:15:03.283021+00:00Z,True,up,1.29.0
2025-07-16T16:21:28.112049+00:00Z,False,up,1.31.0
2025-07-16T17:17:44.510529+00:00Z,True,up,1.31.0
2025-07-16T20:19:00.950177+00:00Z,False,up,1.31.1
2025-07-16T22:16:28.720630+00:00Z,True,up,1.31.1
2025-07-17T23:40:46.430902+00:00Z,True,up,1.31.1
2025-07-18T01:23:01.330182+00:00Z,True,up,1.31.1
2025-07-18T06:25:55.315840+00:00Z,True,up,1.31.1
2025-07-21T20:18:53.380235+00:00Z,True,up,1.31.1
2025-07-21T21:16:26.903999+00:00Z,True,up,1.31.1
2025-07-25T04:58:19.836174+00:00Z,False,up,1.31.1
2025-07-30T05:01:42.872068+00:00Z,True,up,1.31.2
2025-07-30T13:37:45.467426+00:00Z,False,up,1.31.2
2025-07-31T12:35:27.292749+00:00Z,True,up,1.31.4
