timestamp,namada.indexer.OriginStake.is_up_to_date,namada.indexer.OriginStake.status,namada.indexer.OriginStake.sync_state,namada.indexer.OriginStake.version,namada.interface.OriginStake.is_up_to_date,namada.interface.OriginStake.status,namada.interface.OriginStake.version,namada.masp.OriginStake.is_up_to_date,namada.masp.OriginStake.status,namada.masp.OriginStake.sync_state,namada.masp.OriginStake.version,namada.rpc.OriginStake.is_up_to_date,namada.rpc.OriginStake.status,namada.rpc.OriginStake.sync_state,namada.rpc.OriginStake.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T21:38:31.990018+00:00Z,,,sync_lag,,,,,,,sync_lag,,,,,
2025-05-05T22:15:13.374075+00:00Z,,,sync_ok,,,,,,,sync_ok,,,,,
2025-05-06T06:22:43.312687+00:00Z,,,sync_nok,,,,,,,sync_nok,,,,,
2025-05-06T07:15:47.742667+00:00Z,,,sync_ok,,,,,,,sync_ok,,,,,
2025-05-07T16:20:33.330883+00:00Z,,,sync_ok,2.5.4,,,,,,sync_ok,,,,,
2025-05-12T19:13:03.322232+00:00Z,,,sync_ok,2.5.4,,,1.20.1,,,sync_ok,,,,,
2025-05-12T20:18:06.411499+00:00Z,,,sync_ok,2.5.4,,,1.20.0,,,sync_ok,,,,,
2025-05-13T19:12:55.105791+00:00Z,,,sync_ok,2.5.4,False,down,n/a,,,sync_ok,,,,,
2025-05-15T11:36:44.887611+00:00Z,,,sync_ok,2.5.4,True,up,1.20.0-hotfix2,,,sync_ok,,,,,
2025-05-18T12:29:08.438039+00:00Z,,,sync_ok,2.5.4,True,up,1.20.0-hotfix2,,,sync_ok,,,,,
2025-05-18T19:11:49.011403+00:00Z,,,sync_ok,2.5.4,True,up,1.20.0-hotfix2,,,sync_ok,,,,sync_nok,
2025-05-18T19:35:54.784379+00:00Z,,,sync_ok,2.5.4,True,up,1.20.0-hotfix2,,,sync_ok,,False,down,sync_nok,n/a
2025-05-18T20:16:38.718360+00:00Z,,,sync_ok,2.5.4,True,up,1.20.0-hotfix2,,,sync_ok,,True,up,sync_nok,0.37.15
