timestamp,namada.indexer.Palamar.is_up_to_date,namada.indexer.Palamar.status,namada.indexer.Palamar.sync_state,namada.indexer.Palamar.version,namada.interface.Palamar.is_up_to_date,namada.interface.Palamar.status,namada.interface.Palamar.version,namada.masp.Palamar.is_up_to_date,namada.masp.Palamar.status,namada.masp.Palamar.sync_state,namada.masp.Palamar.version,namada.rpc.Palamar.is_up_to_date,namada.rpc.Palamar.status,namada.rpc.Palamar.sync_state,namada.rpc.Palamar.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T15:16:47.767411+00:00Z,,,,,,,,,,sync_ok,,,,,
2025-05-05T18:18:32.884333+00:00Z,False,,,,,,,,,sync_ok,,,,,
2025-05-06T17:14:17.262985+00:00Z,False,down,,n/a,,,,,,sync_ok,,,,,
2025-05-06T18:21:52.116153+00:00Z,True,up,sync_ok,2.5.3,,,,,,sync_ok,,,,,
2025-05-14T09:17:07.094870+00:00Z,True,up,sync_ok,2.5.3,False,down,n/a,,,sync_ok,,,,,
2025-05-14T21:35:47.816955+00:00Z,False,up,sync_ok,2.5.3,False,down,n/a,,,sync_ok,,,,,
2025-05-15T11:36:44.887611+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.0-hotfix2,,,sync_ok,,,,,
2025-05-21T06:23:22.875194+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix2,,,sync_ok,,,,,
2025-05-21T07:15:35.024549+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,,,sync_ok,,,,,
2025-05-27T16:20:15.188932+00:00Z,True,up,sync_lag,2.5.4,True,up,1.20.0-hotfix3,,,sync_lag,,False,down,sync_nok,n/a
2025-05-27T16:47:30.993932+00:00Z,True,up,sync_nok,2.5.4,True,up,1.20.0-hotfix3,,,sync_nok,,False,down,sync_nok,n/a
2025-05-27T17:38:30.832674+00:00Z,True,up,sync_nok,2.5.4,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-27T18:21:07.557856+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,False,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T19:12:23.425317+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix3,False,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T19:35:48.274091+00:00Z,True,up,sync_ok,3.0.2,False,up,1.20.0-hotfix3,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T20:17:46.109236+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-28T10:18:05.667955+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T10:16:16.776557+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T19:11:58.643005+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T11:14:03.159320+00:00Z,False,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T09:17:37.320811+00:00Z,True,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T16:20:13.171167+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T10:16:40.079168+00:00Z,True,up,sync_nok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T16:18:15.847096+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T14:43:54.156276+00:00Z,False,down,sync_nok,n/a,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T15:17:45.212681+00:00Z,False,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T16:20:34.388783+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T20:18:53.189679+00:00Z,True,up,sync_ok,3.2.0,False,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T08:21:20.602972+00:00Z,True,up,sync_ok,3.2.0,True,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T20:17:42.681478+00:00Z,True,up,sync_ok,3.2.0,False,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-21T08:19:31.056277+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T14:44:11.375577+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T21:15:13.463843+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T22:15:57.191039+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T04:56:43.507790+00:00Z,False,up,sync_nok,3.3.2,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T05:24:18.081760+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T15:18:52.358967+00:00Z,False,up,sync_nok,3.3.2,False,up,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T17:17:44.510529+00:00Z,False,up,sync_nok,3.3.2,True,up,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T20:19:00.950177+00:00Z,False,up,sync_nok,3.3.2,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
