timestamp,namada.indexer.Sproutstake.is_up_to_date,namada.indexer.Sproutstake.status,namada.indexer.Sproutstake.sync_state,namada.indexer.Sproutstake.version,namada.interface.Sproutstake.is_up_to_date,namada.interface.Sproutstake.status,namada.interface.Sproutstake.version,namada.masp.Sproutstake.is_up_to_date,namada.masp.Sproutstake.status,namada.masp.Sproutstake.sync_state,namada.masp.Sproutstake.version,namada.rpc.Sproutstake.is_up_to_date,namada.rpc.Sproutstake.status,namada.rpc.Sproutstake.sync_state,namada.rpc.Sproutstake.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T18:18:32.884333+00:00Z,False,,,,,,,,,,,,,,
2025-05-05T19:36:22.174523+00:00Z,True,,sync_ok,2.5.3,,,,,,,,,,,
2025-05-12T21:37:37.606482+00:00Z,,,,,,,,,,,,,,,
2025-05-12T22:15:14.073847+00:00Z,True,up,sync_ok,2.5.3,,,,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-13T21:14:51.813074+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-13T21:37:26.063037+00:00Z,True,up,sync_ok,2.5.3,False,down,n/a,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-14T21:35:47.816955+00:00Z,False,up,sync_ok,2.5.3,False,down,n/a,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-15T11:36:44.887611+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.0-hotfix2,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-18T13:40:15.573726+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.0-hotfix2,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-18T14:13:12.618707+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-18T15:14:07.321648+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.0-hotfix2,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-18T18:19:52.379343+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-21T07:15:35.024549+00:00Z,False,up,sync_ok,2.5.3,False,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-21T08:21:13.743867+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-21T09:17:52.111523+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-27T16:20:15.188932+00:00Z,True,up,sync_lag,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_lag,1.2.1,False,down,sync_nok,n/a
2025-05-27T16:47:30.993932+00:00Z,True,up,sync_nok,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_nok,1.2.1,False,down,sync_nok,n/a
