timestamp,namada.indexer.Stake&Relax 🦥.is_up_to_date,namada.indexer.Stake&Relax 🦥.status,namada.indexer.Stake&Relax 🦥.sync_state,namada.indexer.Stake&Relax 🦥.version,namada.interface.Stake&Relax 🦥.is_up_to_date,namada.interface.Stake&Relax 🦥.status,namada.interface.Stake&Relax 🦥.version,namada.masp.Stake&Relax 🦥.is_up_to_date,namada.masp.Stake&Relax 🦥.status,namada.masp.Stake&Relax 🦥.sync_state,namada.masp.Stake&Relax 🦥.version,namada.rpc.Stake&Relax 🦥.is_up_to_date,namada.rpc.Stake&Relax 🦥.status,namada.rpc.Stake&Relax 🦥.sync_state,namada.rpc.Stake&Relax 🦥.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-06T10:17:01.655160+00:00Z,True,up,sync_ok,2.5.3,,,,,,,,,,,
2025-05-09T04:19:41.802925+00:00Z,True,up,sync_ok,2.5.3,,,1.20.1,,,,,,,,
2025-05-12T21:37:37.606482+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-13T08:21:58.358867+00:00Z,True,up,sync_ok,2.5.3,True,up,1.20.1,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-14T04:19:44.953207+00:00Z,True,up,sync_ok,2.5.3,True,up,1.20.2,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-14T21:35:47.816955+00:00Z,False,up,sync_ok,2.5.3,True,up,1.20.2,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-20T09:17:30.192971+00:00Z,False,up,sync_ok,2.5.3,False,up,1.20.2,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-22T10:17:26.054991+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-22T11:13:58.765824+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,False,up,sync_nok,1.2.0,False,down,sync_nok,n/a
2025-05-22T11:36:41.598829+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-22T12:33:25.146361+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,False,up,sync_ok,1.2.0,True,up,sync_ok,0.37.15
2025-05-27T16:20:15.188932+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,False,up,sync_lag,1.2.0,False,down,sync_nok,n/a
2025-05-27T16:47:30.993932+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-27T17:38:30.832674+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix3,False,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T19:35:48.274091+00:00Z,True,up,sync_ok,3.0.2,False,up,1.20.0-hotfix3,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T21:15:09.104609+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-28T07:15:50.495433+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-11T12:34:12.770715+00:00Z,True,up,sync_ok,3.0.2,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-11T13:30:13.822730+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T16:20:14.861877+00:00Z,False,down,sync_nok,n/a,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T17:15:03.614903+00:00Z,False,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T09:17:37.320811+00:00Z,True,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
