timestamp,namada.indexer.ValidatorVN.is_up_to_date,namada.indexer.ValidatorVN.status,namada.indexer.ValidatorVN.sync_state,namada.indexer.ValidatorVN.version,namada.interface.ValidatorVN.is_up_to_date,namada.interface.ValidatorVN.status,namada.interface.ValidatorVN.version,namada.masp.ValidatorVN.is_up_to_date,namada.masp.ValidatorVN.status,namada.masp.ValidatorVN.sync_state,namada.masp.ValidatorVN.version,namada.rpc.ValidatorVN.is_up_to_date,namada.rpc.ValidatorVN.status,namada.rpc.ValidatorVN.sync_state,namada.rpc.ValidatorVN.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-06T12:33:40.625317+00:00Z,True,up,sync_ok,2.5.3,True,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-07T16:20:33.330883+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-15T11:36:44.887611+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-18T12:29:08.438039+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-18T19:11:49.011403+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_nok,0.37.15
2025-05-18T19:35:54.784379+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.0,True,up,sync_ok,1.2.1,False,down,sync_nok,n/a
2025-05-18T20:16:38.718360+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_nok,0.37.15
2025-05-18T21:13:20.634729+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-20T14:15:58.807137+00:00Z,False,down,sync_nok,n/a,False,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-20T15:17:40.098979+00:00Z,False,up,sync_ok,2.5.3,False,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-20T20:18:04.260132+00:00Z,False,up,sync_ok,2.5.3,False,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_nok,0.37.15
2025-05-20T21:14:42.295074+00:00Z,False,up,sync_ok,2.5.3,False,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-21T06:23:22.875194+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.0,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-21T07:15:35.024549+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-23T10:17:09.765760+00:00Z,,,,,False,down,n/a,,,,,,,,
