timestamp,entry_type,team,service,field,full_path,change_type,old_value,new_value
2025-05-05T14:43:48.331199+00:00Z,initial,Validatus,interface,initial_state,namada.operator.Validatus.interface,initial,,"{""team"": ""Validatus"", ""discord"": ""validatus.com"", ""url"": ""https://namadillo.namada.validatus.com"", ""status"": ""up"", ""version"": ""1.20.0"", ""is_up_to_date"": true, ""settings"": [{""service"": ""indexer"", ""url"": ""https://indexer.namada.validatus.com:443"", ""status"": ""up"", ""version"": ""2.3.0"", ""is_up_to_date"": false, ""latest_block_height"": ""1889999"", ""sync_state"": ""sync_nok""}, {""service"": ""masp"", ""url"": ""https://masp.namada.validatus.com:443"", ""status"": ""up"", ""version"": ""1.2.1"", ""is_up_to_date"": true, ""latest_block_height"": ""917026"", ""sync_state"": ""sync_nok""}, {""service"": ""rpc"", ""url"": ""https://rpc.namada.validatus.com:443"", ""status"": ""up"", ""version"": ""0.37.15"", ""is_up_to_date"": true, ""namada_version"": ""1.1.5"", ""latest_block_height"": ""1901213"", ""sync_state"": ""sync_ok""}]}"
2025-05-06T07:15:47.742667+00:00Z,change,,indexer,is_up_to_date,namada.operator.Validatus.service.indexer.is_up_to_date,modified,False,True
2025-05-06T07:15:47.742667+00:00Z,change,,indexer,version,namada.operator.Validatus.service.indexer.version,modified,2.3.0,2.5.3
2025-05-06T07:15:47.742667+00:00Z,change,,indexer,latest_block_height,namada.operator.Validatus.service.indexer.latest_block_height,modified,1889999,1910022
2025-05-06T07:15:47.742667+00:00Z,change,,indexer,sync_state,namada.operator.Validatus.service.indexer.sync_state,modified,sync_nok,sync_ok
2025-05-06T18:21:52.116153+00:00Z,change,,rpc,status,namada.operator.Validatus.service.rpc.status,modified,up,down
2025-05-06T18:21:52.116153+00:00Z,change,,rpc,latest_block_height,namada.operator.Validatus.service.rpc.latest_block_height,modified,1915184,0
2025-05-06T18:21:52.116153+00:00Z,change,,rpc,version,namada.operator.Validatus.service.rpc.version,modified,0.37.15,n/a
2025-05-06T18:21:52.116153+00:00Z,change,,rpc,is_up_to_date,namada.operator.Validatus.service.rpc.is_up_to_date,modified,True,False
2025-05-06T18:21:52.116153+00:00Z,change,,rpc,sync_state,namada.operator.Validatus.service.rpc.sync_state,modified,sync_ok,sync_nok
2025-05-06T18:21:52.116153+00:00Z,change,,rpc,namada_version,namada.operator.Validatus.service.rpc.namada_version,modified,1.1.5,n/a
2025-05-06T19:11:28.595040+00:00Z,change,,rpc,latest_block_height,namada.operator.Validatus.service.rpc.latest_block_height,modified,0,1916205
2025-05-06T19:11:28.595040+00:00Z,change,,rpc,status,namada.operator.Validatus.service.rpc.status,modified,down,up
2025-05-06T19:11:28.595040+00:00Z,change,,rpc,is_up_to_date,namada.operator.Validatus.service.rpc.is_up_to_date,modified,False,True
2025-05-06T19:11:28.595040+00:00Z,change,,rpc,version,namada.operator.Validatus.service.rpc.version,modified,n/a,0.37.15
2025-05-06T19:11:28.595040+00:00Z,change,,rpc,sync_state,namada.operator.Validatus.service.rpc.sync_state,modified,sync_nok,sync_ok
2025-05-06T19:11:28.595040+00:00Z,change,,rpc,namada_version,namada.operator.Validatus.service.rpc.namada_version,modified,n/a,1.1.5
2025-05-09T02:54:35.004314+00:00Z,change,,masp,latest_block_height,namada.operator.Validatus.service.masp.latest_block_height,modified,1930001,1945027
2025-05-09T02:54:35.004314+00:00Z,change,,masp,sync_state,namada.operator.Validatus.service.masp.sync_state,modified,sync_nok,sync_ok
2025-05-10T16:17:31.231251+00:00Z,change,,indexer,latest_block_height,namada.operator.Validatus.service.indexer.latest_block_height,modified,1964010,0
2025-05-10T16:17:31.231251+00:00Z,change,,indexer,status,namada.operator.Validatus.service.indexer.status,modified,up,down
