timestamp,namada.indexer.deNodes.is_up_to_date,namada.indexer.deNodes.status,namada.indexer.deNodes.sync_state,namada.indexer.deNodes.version,namada.interface.deNodes.is_up_to_date,namada.interface.deNodes.status,namada.interface.deNodes.version,namada.masp.deNodes.is_up_to_date,namada.masp.deNodes.status,namada.masp.deNodes.sync_state,namada.masp.deNodes.version,namada.rpc.deNodes.is_up_to_date,namada.rpc.deNodes.status,namada.rpc.deNodes.sync_state,namada.rpc.deNodes.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T18:18:32.884333+00:00Z,False,,,,,,,,,,,,,,
2025-05-06T09:17:05.159281+00:00Z,True,,sync_ok,2.5.3,,,,,,,,,,,
2025-05-14T21:35:47.816955+00:00Z,False,,sync_ok,2.5.3,,,,,,,,,,,
2025-05-15T11:36:44.887611+00:00Z,False,,sync_ok,2.5.3,False,,,,,,,,,,
2025-05-21T09:17:52.111523+00:00Z,False,,sync_ok,2.5.3,True,,1.20.0-hotfix3,,,,,,,,
2025-05-21T17:39:41.552356+00:00Z,True,,sync_ok,2.5.4,True,,1.20.0-hotfix3,,,,,,,,
2025-05-27T16:20:15.188932+00:00Z,False,down,sync_nok,n/a,True,,1.20.0-hotfix3,,,,,,,,
2025-05-27T16:47:30.993932+00:00Z,False,up,sync_ok,3.0.2,True,,1.20.0-hotfix3,,,sync_nok,1.3.0,,,,
2025-05-27T19:35:48.274091+00:00Z,True,up,sync_ok,3.0.2,False,,1.20.0-hotfix3,True,,sync_nok,1.3.0,,,,
2025-05-27T20:17:46.109236+00:00Z,True,up,sync_ok,3.0.2,True,,1.21.0,True,,sync_nok,1.3.0,,,,
2025-05-28T06:23:23.845379+00:00Z,True,up,sync_ok,3.0.2,True,,1.21.0,True,,sync_ok,1.3.0,,,,
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,False,,1.21.0,True,,sync_ok,1.3.0,,,,
2025-06-07T22:14:28.475985+00:00Z,True,up,sync_ok,3.0.2,True,,1.24.0,True,,sync_ok,1.3.0,,,,
2025-06-09T16:20:41.447245+00:00Z,True,up,sync_ok,3.0.2,True,,1.24.0,True,,sync_ok,1.3.0,,,,
2025-06-12T18:22:17.838026+00:00Z,False,up,sync_ok,3.1.0,True,,1.24.0,True,,sync_ok,1.3.0,,,,
2025-06-13T09:17:37.320811+00:00Z,True,up,sync_ok,3.1.0,True,,1.24.0,True,,sync_ok,1.3.0,,,,
2025-06-13T16:20:13.171167+00:00Z,True,up,sync_ok,3.1.0,False,,1.24.0,True,,sync_ok,1.3.0,,,,
2025-06-13T17:13:57.257484+00:00Z,True,up,sync_ok,3.1.0,True,,1.26.0,True,,sync_ok,1.3.0,,,,
2025-06-15T10:16:40.079168+00:00Z,True,up,sync_nok,3.1.0,True,,1.26.0,True,,sync_ok,1.3.0,,,,
2025-06-15T16:18:15.847096+00:00Z,True,up,sync_ok,3.1.0,True,,1.26.0,True,,sync_ok,1.3.0,,,,
