timestamp,namada.indexer.itrocket.is_up_to_date,namada.indexer.itrocket.status,namada.indexer.itrocket.sync_state,namada.indexer.itrocket.version,namada.interface.itrocket.is_up_to_date,namada.interface.itrocket.status,namada.interface.itrocket.version,namada.masp.itrocket.is_up_to_date,namada.masp.itrocket.sync_state,namada.masp.itrocket.version,namada.rpc.itrocket.is_up_to_date,namada.rpc.itrocket.status,namada.rpc.itrocket.sync_state,namada.rpc.itrocket.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,
2025-05-05T18:18:32.884333+00:00Z,,down,sync_nok,n/a,,,,,,,,,,
2025-05-06T05:16:22.094369+00:00Z,True,up,sync_ok,3.0.0,,,,,,,,,,
2025-05-08T18:21:56.334887+00:00Z,True,up,sync_ok,3.0.1,,,1.20.1,,,,,,,
2025-05-12T19:13:03.322232+00:00Z,True,up,sync_ok,3.0.1,,,1.20.0,,,,,,,
2025-05-13T19:35:51.817535+00:00Z,True,up,sync_ok,3.0.1,False,down,n/a,,,,,,,
2025-05-15T11:36:44.887611+00:00Z,True,up,sync_ok,3.0.1,True,up,1.20.0-hotfix2,,,,,,,
2025-05-16T07:15:48.583879+00:00Z,True,up,sync_ok,3.0.1,True,up,1.20.0-hotfix2,,sync_nok,,,,,
2025-05-17T18:19:53.299620+00:00Z,True,up,sync_ok,3.0.1,True,up,1.20.0-hotfix2,,sync_ok,,,,,
2025-05-18T12:29:08.438039+00:00Z,True,up,sync_ok,3.0.1,True,up,1.20.0-hotfix2,,sync_ok,,,,,
2025-05-18T19:11:49.011403+00:00Z,True,up,sync_nok,3.0.1,True,up,1.20.0-hotfix2,,sync_nok,,,,sync_nok,
2025-05-18T19:35:54.784379+00:00Z,True,up,sync_nok,3.0.1,True,up,1.20.0-hotfix2,,sync_nok,,False,down,sync_nok,n/a
2025-05-18T20:16:38.718360+00:00Z,True,up,sync_nok,3.0.1,True,up,1.20.0-hotfix2,,sync_nok,,True,up,sync_nok,0.37.15
2025-05-18T21:13:20.634729+00:00Z,True,up,sync_ok,3.0.1,True,up,1.20.0-hotfix2,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-19T06:24:03.888543+00:00Z,True,up,sync_ok,3.0.1,True,up,1.20.0-hotfix2,,sync_nok,,True,up,sync_ok,0.37.15
2025-05-20T06:23:28.231771+00:00Z,True,up,sync_ok,3.0.2,True,up,1.20.0-hotfix2,True,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-20T09:17:30.192971+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix2,False,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-20T20:18:04.260132+00:00Z,False,up,sync_nok,3.0.2,True,up,1.20.0-hotfix2,False,sync_nok,1.3.0,True,up,sync_nok,0.37.15
2025-05-20T21:14:42.295074+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix2,False,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-21T02:56:18.039744+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix2,False,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-21T07:15:35.024549+00:00Z,False,up,sync_ok,3.0.2,False,up,1.20.0-hotfix2,False,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-21T08:21:13.743867+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix3,False,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-21T17:14:08.011848+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,False,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-22T07:15:44.010929+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix3,False,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T16:20:15.188932+00:00Z,False,up,sync_lag,3.0.2,True,up,1.20.0-hotfix3,False,sync_lag,1.3.0,False,down,sync_nok,n/a
2025-05-27T16:47:30.993932+00:00Z,False,up,sync_nok,3.0.2,True,up,1.20.0-hotfix3,False,sync_nok,1.3.0,False,down,sync_nok,n/a
2025-05-27T17:14:25.051180+00:00Z,False,up,sync_nok,3.0.2,True,up,1.20.0-hotfix3,False,sync_nok,1.3.0,True,up,sync_nok,0.37.15
2025-05-27T17:38:30.832674+00:00Z,False,up,sync_nok,3.0.2,True,up,1.20.0-hotfix3,False,sync_nok,1.3.0,False,down,sync_nok,n/a
2025-05-27T18:21:07.557856+00:00Z,True,up,sync_nok,2.5.4,True,up,1.20.0-hotfix3,True,sync_nok,1.2.1,True,up,sync_ok,0.37.15
2025-05-27T19:12:23.425317+00:00Z,False,up,sync_nok,3.0.2,True,up,1.20.0-hotfix3,False,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T19:35:48.274091+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-28T05:16:20.357608+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-29T02:57:33.119131+00:00Z,True,up,sync_lag,3.0.2,True,up,1.21.0,True,sync_lag,1.3.0,False,down,sync_nok,n/a
2025-05-29T03:45:09.149564+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T16:17:56.122440+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T21:15:29.048679+00:00Z,False,up,sync_ok,3.1.0,True,up,1.24.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T09:17:37.320811+00:00Z,True,up,sync_ok,3.1.0,True,up,1.24.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T16:20:13.171167+00:00Z,True,up,sync_ok,3.1.0,False,up,1.24.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T18:22:40.034157+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T10:16:40.079168+00:00Z,True,up,sync_nok,3.1.0,True,up,1.26.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T16:18:15.847096+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T16:20:34.388783+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T20:18:53.189679+00:00Z,True,up,sync_ok,3.2.0,True,up,1.27.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T20:17:42.681478+00:00Z,True,up,sync_ok,3.2.0,False,up,1.27.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-21T08:19:31.056277+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.2,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T05:44:32.233831+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T21:15:13.463843+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.3,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T11:14:33.631123+00:00Z,True,up,sync_ok,3.2.0,False,up,1.29.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T22:15:57.191039+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T16:21:39.017662+00:00Z,False,up,sync_ok,3.3.2,True,up,1.29.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T18:25:22.462336+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T06:26:40.197078+00:00Z,False,up,sync_ok,3.3.2,True,up,1.29.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T08:23:18.306418+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T15:18:52.358967+00:00Z,False,up,sync_ok,3.3.4,False,up,1.31.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T17:17:44.510529+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T22:16:28.720630+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.0,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T07:21:11.685496+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.2,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T13:37:45.467426+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.2,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T15:18:53.443581+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,sync_ok,1.3.0,True,up,sync_ok,0.37.15
