timestamp,namada.indexer.shield-crypto.is_up_to_date,namada.indexer.shield-crypto.status,namada.indexer.shield-crypto.sync_state,namada.indexer.shield-crypto.version,namada.interface.shield-crypto.is_up_to_date,namada.interface.shield-crypto.status,namada.interface.shield-crypto.version,namada.masp.shield-crypto.is_up_to_date,namada.masp.shield-crypto.status,namada.masp.shield-crypto.sync_state,namada.masp.shield-crypto.version,namada.rpc.shield-crypto.is_up_to_date,namada.rpc.shield-crypto.status,namada.rpc.shield-crypto.sync_state,namada.rpc.shield-crypto.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T16:20:27.480863+00:00Z,False,down,,n/a,,,,,,sync_lag,,,,sync_lag,
2025-05-05T17:13:59.511653+00:00Z,False,down,,n/a,,,,,,sync_nok,,,,sync_nok,
2025-05-05T18:18:32.884333+00:00Z,True,up,sync_ok,2.5.3,,,,,,sync_ok,,,,sync_ok,
2025-05-05T20:17:31.462289+00:00Z,True,up,sync_nok,2.5.3,,,,,,sync_lag,,,,sync_ok,
2025-05-05T20:40:17.176507+00:00Z,True,up,sync_ok,2.5.3,,,,,,sync_ok,,,,sync_ok,
2025-05-06T06:22:43.312687+00:00Z,True,up,sync_nok,2.5.3,,,,,,sync_nok,,False,down,sync_nok,n/a
2025-05-06T07:15:47.742667+00:00Z,True,up,sync_ok,2.5.3,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-07T06:22:58.306796+00:00Z,True,up,sync_nok,2.5.3,,,,,,sync_nok,,False,down,sync_nok,n/a
2025-05-07T07:15:42.383475+00:00Z,True,up,sync_ok,2.5.3,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-08T06:23:41.794793+00:00Z,True,up,sync_nok,2.5.3,,,,,,sync_lag,,True,up,sync_lag,0.37.15
2025-05-08T07:15:46.402768+00:00Z,True,up,sync_ok,2.5.3,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-09T06:23:15.610986+00:00Z,True,up,sync_nok,2.5.3,,,,,,sync_nok,,True,up,sync_lag,0.37.15
2025-05-09T07:15:25.330877+00:00Z,True,up,sync_ok,2.5.3,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-09T13:26:16.887947+00:00Z,True,up,sync_ok,2.5.3,,,,,,sync_ok,,False,down,sync_nok,n/a
2025-05-09T14:15:21.858400+00:00Z,True,up,sync_ok,2.5.3,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-10T06:20:05.875138+00:00Z,True,up,sync_lag,2.5.3,,,,,,sync_lag,,True,up,sync_ok,0.37.15
2025-05-10T07:13:37.972816+00:00Z,True,up,sync_ok,2.5.3,,,,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-13T20:17:51.606241+00:00Z,True,up,sync_ok,2.5.3,False,down,n/a,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-14T06:22:47.931776+00:00Z,True,up,sync_lag,2.5.3,False,down,n/a,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-14T07:15:47.125646+00:00Z,False,down,sync_nok,n/a,False,down,n/a,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-14T10:17:11.774012+00:00Z,True,up,sync_nok,2.5.4,False,down,n/a,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-14T10:44:20.805561+00:00Z,True,up,sync_ok,2.5.4,False,down,n/a,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-15T06:23:20.852463+00:00Z,True,up,sync_lag,2.5.4,False,down,n/a,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-15T07:15:41.727041+00:00Z,True,up,sync_ok,2.5.4,False,down,n/a,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-15T11:36:44.887611+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix2,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-16T06:23:00.626069+00:00Z,True,up,sync_lag,2.5.4,True,up,1.20.0-hotfix2,,,sync_lag,,True,up,sync_lag,0.37.15
2025-05-16T07:15:48.583879+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix2,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-17T06:20:35.443437+00:00Z,True,up,sync_lag,2.5.4,True,up,1.20.0-hotfix2,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-17T07:14:00.542827+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix2,,,sync_ok,,True,up,sync_ok,0.37.15
2025-05-17T16:17:51.352476+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix2,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-17T18:19:53.299620+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-18T09:14:45.625039+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,False,down,sync_nok,n/a
2025-05-18T10:15:14.270779+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-21T07:15:35.024549+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-25T19:11:45.253770+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.0-hotfix4,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-27T16:20:15.188932+00:00Z,True,up,sync_lag,2.5.4,False,up,1.20.0-hotfix4,True,up,sync_lag,1.2.1,False,down,sync_nok,n/a
2025-05-27T16:47:30.993932+00:00Z,False,up,sync_ok,3.0.2,False,up,1.20.0-hotfix4,False,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T19:35:48.274091+00:00Z,True,up,sync_ok,3.0.2,False,up,1.20.0-hotfix4,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T20:40:32.859929+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-28T04:20:51.113385+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-28T09:17:10.839311+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-28T15:16:15.417624+00:00Z,True,up,sync_lag,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,True,up,sync_lag,0.37.15
2025-05-28T16:18:53.803193+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-29T06:23:45.947208+00:00Z,True,up,sync_lag,3.0.2,True,up,1.21.0,True,up,sync_lag,1.3.0,True,up,sync_lag,0.37.15
2025-05-29T07:15:49.969179+00:00Z,True,up,sync_nok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-29T07:38:09.111459+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-30T06:22:48.266149+00:00Z,True,up,sync_lag,3.0.2,True,up,1.21.0,True,up,sync_lag,1.3.0,True,up,sync_lag,0.37.15
2025-05-30T07:15:29.186100+00:00Z,True,up,sync_nok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-31T06:20:58.413472+00:00Z,True,up,sync_nok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,False,down,sync_nok,n/a
2025-05-31T07:14:16.923086+00:00Z,True,up,sync_nok,3.0.2,True,up,1.21.0,True,up,sync_lag,1.3.0,True,up,sync_ok,0.37.15
2025-05-31T07:36:30.543655+00:00Z,True,up,sync_nok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-31T21:13:38.791205+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-06-01T06:22:15.341691+00:00Z,True,up,sync_nok,3.0.2,True,up,1.21.0,False,down,sync_nok,n/a,False,down,sync_nok,n/a
2025-06-01T07:14:58.087932+00:00Z,True,up,sync_nok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,True,up,sync_nok,0.37.15
2025-06-01T12:30:20.323946+00:00Z,True,up,sync_nok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,False,down,sync_nok,n/a
2025-06-01T13:23:46.994638+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,True,up,sync_nok,0.37.15
2025-06-01T14:13:38.747457+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,False,down,sync_nok,n/a
2025-06-01T14:41:07.687029+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,True,up,sync_nok,0.37.15
2025-06-01T17:38:39.289536+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-01T18:20:18.004530+00:00Z,True,up,sync_nok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-01T19:12:09.672978+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,False,down,sync_nok,n/a
2025-06-01T20:16:49.532545+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-01T20:39:52.645251+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,False,down,sync_nok,n/a
2025-06-02T15:17:54.067813+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,True,up,sync_nok,0.37.15
2025-06-02T16:20:50.999559+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-02T18:22:34.218236+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-02T19:12:25.613276+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,False,down,sync_nok,n/a
2025-06-02T20:17:57.780339+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,True,up,sync_lag,0.37.15
2025-06-02T21:16:06.636859+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-03T04:30:16.400262+00:00Z,True,up,sync_lag,3.0.2,True,up,1.21.0,True,up,sync_lag,1.3.0,True,up,sync_lag,0.37.15
2025-06-03T05:16:49.011451+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-04T04:31:13.210356+00:00Z,True,up,sync_lag,3.0.2,True,up,1.21.0,True,up,sync_lag,1.3.0,True,up,sync_lag,0.37.15
2025-06-04T05:16:26.658587+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-06T04:22:08.660397+00:00Z,True,up,sync_lag,3.0.2,True,up,1.21.0,True,up,sync_lag,1.3.0,True,up,sync_lag,0.37.15
2025-06-06T05:16:35.535440+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-06T13:27:59.777240+00:00Z,False,down,sync_nok,n/a,True,up,1.21.0,False,down,sync_nok,n/a,False,down,sync_nok,n/a
2025-06-06T14:16:00.060199+00:00Z,True,up,sync_nok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-06T15:14:06.680941+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T11:12:18.199578+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T21:13:42.052952+00:00Z,True,up,sync_nok,3.0.2,True,up,1.24.0,True,up,sync_nok,1.3.0,True,up,sync_nok,0.37.15
2025-06-07T22:14:28.475985+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T23:16:26.237630+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-08T04:50:00.499541+00:00Z,True,up,sync_lag,3.0.2,True,up,1.24.0,False,down,sync_nok,n/a,False,down,sync_nok,n/a
2025-06-08T05:16:45.899539+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-08T08:19:07.108355+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-09T04:50:56.549508+00:00Z,True,up,sync_lag,3.0.2,True,up,1.24.0,True,up,sync_lag,1.3.0,False,down,sync_nok,n/a
2025-06-09T05:17:31.582986+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-10T04:47:46.758058+00:00Z,True,up,sync_lag,3.0.2,True,up,1.24.0,True,up,sync_lag,1.3.0,True,up,sync_lag,0.37.15
2025-06-10T05:16:29.782055+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-10T07:38:45.097658+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-06-10T08:22:37.010571+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-11T07:15:57.420416+00:00Z,True,up,sync_lag,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-11T08:21:53.658258+00:00Z,True,up,sync_nok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-11T21:15:12.262325+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T12:33:07.465452+00:00Z,False,down,sync_nok,n/a,True,up,1.24.0,True,up,sync_nok,1.3.0,True,up,sync_nok,0.37.15
2025-06-12T15:17:54.661880+00:00Z,False,down,sync_nok,n/a,True,up,1.24.0,False,down,sync_nok,n/a,False,down,sync_nok,n/a
2025-06-12T16:20:14.861877+00:00Z,False,down,sync_nok,n/a,True,up,1.24.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-12T19:12:38.576714+00:00Z,False,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T20:18:09.128568+00:00Z,False,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T04:33:40.731596+00:00Z,False,up,sync_nok,3.1.0,True,up,1.24.0,True,up,sync_nok,1.3.0,False,down,sync_nok,n/a
2025-06-13T05:15:57.337470+00:00Z,False,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T09:17:37.320811+00:00Z,True,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T16:20:13.171167+00:00Z,True,up,sync_ok,3.1.0,False,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T17:13:57.257484+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
